HR,timeUnix,SUBJ_ID
73.22,1614792780.0,105
67.0,1616167763.0,106
68.5,1616167764.0,106
68.33,1616167765.0,106
68.25,1616167766.0,106
68.6,1616167767.0,106
69.67,1616167768.0,106
70.86,1616167769.0,106
71.75,1616167770.0,106
72.33,1616167771.0,106
72.8,1616167772.0,106
73.09,1616167773.0,106
73.08,1616167774.0,106
73.08,1616167775.0,106
73.07,1616167776.0,106
73.33,1616167777.0,106
73.75,1616167778.0,106
75.12,1616167779.0,106
76.39,1616167780.0,106
77.89,1616167781.0,106
79.25,1616167782.0,106
80.48,1616167783.0,106
81.64,1616167784.0,106
82.7,1616167785.0,106
83.67,1616167786.0,106
84.52,1616167787.0,106
84.96,1616167788.0,106
84.81,1616167789.0,106
84.79,1616167790.0,106
84.79,1616167791.0,106
84.8,1616167792.0,106
84.71,1616167793.0,106
84.69,1616167794.0,106
84.73,1616167795.0,106
84.68,1616167796.0,106
84.51,1616167797.0,106
84.31,1616167798.0,106
83.68,1616167799.0,106
83.03,1616167800.0,106
82.46,1616167801.0,106
81.95,1616167802.0,106
81.49,1616167803.0,106
81.05,1616167804.0,106
80.65,1616167805.0,106
80.32,1616167806.0,106
79.98,1616167807.0,106
79.7,1616167808.0,106
79.43,1616167809.0,106
79.12,1616167810.0,106
78.84,1616167811.0,106
78.54,1616167812.0,106
78.22,1616167813.0,106
77.9,1616167814.0,106
77.58,1616167815.0,106
77.26,1616167816.0,106
76.91,1616167817.0,106
76.55,1616167818.0,106
76.21,1616167819.0,106
75.93,1616167820.0,106
75.69,1616167821.0,106
75.5,1616167822.0,106
75.48,1616167823.0,106
75.43,1616167824.0,106
75.43,1616167825.0,106
75.43,1616167826.0,106
75.38,1616167827.0,106
75.27,1616167828.0,106
75.12,1616167829.0,106
75.08,1616167830.0,106
75.13,1616167831.0,106
75.12,1616167832.0,106
75.12,1616167833.0,106
75.12,1616167834.0,106
75.17,1616167835.0,106
75.32,1616167836.0,106
75.48,1616167837.0,106
75.62,1616167838.0,106
75.43,1616167839.0,106
75.15,1616167840.0,106
74.77,1616167841.0,106
74.35,1616167842.0,106
73.97,1616167843.0,106
73.57,1616167844.0,106
73.1,1616167845.0,106
72.53,1616167846.0,106
71.93,1616167847.0,106
71.45,1616167848.0,106
71.13,1616167849.0,106
70.77,1616167850.0,106
70.28,1616167851.0,106
69.77,1616167852.0,106
69.27,1616167853.0,106
68.72,1616167854.0,106
68.17,1616167855.0,106
67.67,1616167856.0,106
67.27,1616167857.0,106
66.95,1616167858.0,106
67.0,1616167859.0,106
67.07,1616167860.0,106
67.2,1616167861.0,106
67.33,1616167862.0,106
67.48,1616167863.0,106
67.62,1616167864.0,106
67.73,1616167865.0,106
67.83,1616167866.0,106
67.95,1616167867.0,106
67.98,1616167868.0,106
68.0,1616167869.0,106
68.02,1616167870.0,106
68.03,1616167871.0,106
68.07,1616167872.0,106
68.1,1616167873.0,106
